File created on 2025-11-10T15:36:18.913383
Source data: ac_h0s_mfi_20120122000004_20120122235948_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:36:18.913263#COOR
GSM

#SATELLITEXYZ
208.861
  0.000
  0.000


#START
2012 01 22 01 08 31 221        1.16      -7.99       9.42    -323.68      13.31      -6.75     571.75  235591.74
2012 01 22 01 08 51 639        1.14      -7.97       9.46    -323.33      13.35      -6.85     571.64  235471.81
2012 01 22 01 08 56 744        1.10      -7.95       9.47    -323.25      13.36      -6.88     571.62  235441.83
2012 01 22 01 09 12 063        1.00      -7.88       9.48    -322.99      13.38      -6.95     571.53  235351.88
2012 01 22 01 09 32 496        1.10      -7.80       9.56    -322.64      13.42      -7.06     571.42  235231.96
2012 01 22 01 09 52 942        1.09      -7.87       9.55    -322.29      13.45      -7.16     571.32  235112.03
2012 01 22 01 10 13 394        0.88      -7.90       9.52    -321.94      13.48      -7.26     571.21  234992.11
2012 01 22 01 10 18 510        0.89      -7.91       9.51    -321.86      13.49      -7.29     571.18  234962.12
2012 01 22 01 10 35 576        0.89      -7.93       9.48    -321.46      13.23      -6.80     571.10  234872.18
2012 01 22 01 10 58 348        1.00      -7.99       9.44    -320.94      12.88      -6.16     570.99  234752.25
2012 01 22 01 11 21 145        0.76      -8.07       9.34    -320.41      12.53      -5.51     570.88  234632.33
2012 01 22 01 11 43 961        0.68      -8.19       9.28    -319.89      12.18      -4.87     570.77  234512.40
2012 01 22 01 11 49 669        0.77      -8.17       9.29    -319.75      12.09      -4.70     570.74  234482.42
2012 01 22 01 12 00 952        1.02      -8.08       9.32    -319.81      12.40      -5.19     570.66  234392.48
2012 01 22 01 12 15 994        0.93      -8.11       9.31    -319.88      12.81      -5.83     570.55  234272.55
2012 01 22 01 12 31 036        0.93      -8.27       9.18    -319.96      13.22      -6.47     570.44  234152.63
2012 01 22 01 12 46 081        0.59      -8.26       9.21    -320.03      13.63      -7.11     570.33  234032.70
2012 01 22 01 12 49 843        0.53      -8.26       9.20    -320.05      13.73      -7.27     570.31  234002.72
2012 01 22 01 13 02 147        0.35      -8.27       9.19    -320.03      13.64      -7.28     570.22  233912.77
2012 01 22 01 13 18 549        0.37      -8.25       9.25    -319.99      13.51      -7.28     570.12  233792.85
2012 01 22 01 13 34 952        0.46      -8.25       9.24    -319.96      13.39      -7.29     570.01  233672.92
2012 01 22 01 13 51 358        0.19      -8.59       8.91    -319.93      13.27      -7.30     569.90  233553.00
2012 01 22 01 13 55 458        0.17      -8.55       8.96    -319.92      13.24      -7.30     569.87  233523.02
2012 01 22 01 14 10 295        0.13      -8.44       9.11    -319.71      13.12      -7.07     569.79  233433.07
2012 01 22 01 14 30 087       -0.03      -8.28       9.24    -319.42      12.97      -6.76     569.68  233313.15
2012 01 22 01 14 49 882        0.26      -8.43       9.11    -319.12      12.82      -6.45     569.57  233193.22
2012 01 22 01 15 09 687        0.19      -8.28       9.27    -318.83      12.67      -6.14     569.46  233073.29
2012 01 22 01 15 14 639        0.19      -8.27       9.27    -318.76      12.63      -6.06     569.43  233043.31
2012 01 22 01 15 22 340        0.20      -8.25       9.28    -319.09      13.20      -6.61     569.35  232953.37
2012 01 22 01 15 32 626        0.28      -8.26       9.25    -319.53      13.96      -7.34     569.24  232833.44
2012 01 22 01 15 42 924        0.15      -8.26       9.20    -319.97      14.73      -8.08     569.13  232713.52
2012 01 22 01 15 53 237        0.20      -7.33       9.96    -320.41      15.49      -8.81     569.02  232593.59
2012 01 22 01 15 55 819        0.21      -7.39       9.91    -320.52      15.68      -8.99     569.00  232563.61
2012 01 22 01 16 05 028        0.25      -7.58       9.78    -320.73      15.42      -8.77     568.91  232473.66
2012 01 22 01 16 17 312        0.12      -7.72       9.69    -321.02      15.08      -8.46     568.81  232353.74
2012 01 22 01 16 29 600        0.24      -7.97       9.37    -321.31      14.73      -8.16     568.70  232233.81
2012 01 22 01 16 41 895        0.29      -7.42       9.87    -321.59      14.38      -7.85     568.59  232113.89
2012 01 22 01 16 44 971        0.30      -7.44       9.87    -321.67      14.30      -7.78     568.56  232083.91
2012 01 22 01 16 55 540        0.32      -7.50       9.86    -321.78      13.75      -7.12     568.48  231993.96
2012 01 22 01 17 09 631        0.43      -7.54       9.77    -321.93      13.02      -6.26     568.37  231874.04
2012 01 22 01 17 23 727        0.33      -7.54       9.80    -322.08      12.30      -5.39     568.26  231754.11
2012 01 22 01 17 37 821        0.27      -7.54       9.85    -322.22      11.57      -4.52     568.15  231634.18
2012 01 22 01 17 41 346        0.29      -7.53       9.84    -322.26      11.39      -4.30     568.12  231604.20
2012 01 22 01 17 52 216        0.35      -7.52       9.82    -322.35      11.89      -4.90     568.04  231514.26
2012 01 22 01 18 06 707        0.36      -7.47       9.88    -322.47      12.55      -5.70     567.93  231394.33
2012 01 22 01 18 21 202        0.27      -7.44       9.94    -322.59      13.21      -6.50     567.82  231274.41
2012 01 22 01 18 35 695        0.30      -7.36       9.98    -322.70      13.88      -7.30     567.71  231154.48
2012 01 22 01 18 39 318        0.35      -7.41       9.94    -322.73      14.05      -7.50     567.69  231124.50
2012 01 22 01 18 58 299        0.48      -7.55       9.82    -322.19      13.69      -7.02     567.61  231034.56
2012 01 22 01 19 23 647        0.39      -7.56       9.83    -321.46      13.22      -6.39     567.50  230914.63
2012 01 22 01 19 49 037        0.41      -7.33       9.99    -320.73      12.75      -5.75     567.39  230794.70
2012 01 22 01 20 14 467        0.41      -7.37       9.98    -320.00      12.28      -5.12     567.28  230674.78
2012 01 22 01 20 20 831        0.41      -7.37       9.98    -319.82      12.16      -4.96     567.25  230644.80
2012 01 22 01 20 32 107        0.41      -7.38       9.97    -319.88      12.30      -5.16     567.17  230554.85
2012 01 22 01 20 47 146        0.49      -7.29       9.99    -319.95      12.47      -5.41     567.06  230434.93
2012 01 22 01 21 02 182        0.54      -7.29       9.98    -320.03      12.65      -5.67     566.95  230315.00
2012 01 22 01 21 17 222        0.36      -7.39       9.84    -320.10      12.82      -5.93     566.84  230195.08
2012 01 22 01 21 20 981        0.36      -7.39       9.83    -320.12      12.87      -5.99     566.81  230165.09
2012 01 22 01 21 32 258        0.36      -7.39       9.78    -320.17      13.00      -6.18     566.73  230075.15
2012 01 22 01 21 47 299        0.49      -7.23      10.00    -320.25      13.17      -6.44     566.62  229955.22
